candleInterval,tp1RR,z1min,z1max,tp1SizePercent,moveSlToBreakeven,totalTrades,winRate,profitFactor,maxDrawdown,expectancy,finalCapital,sharpeRatio,sortinoRatio
2,2,1.9,2.1,100,false,397,69.77,3.7384,8.65,0.8277,256362.57,0.6873,1.5055
3,2,1.9,2.06,100,false,464,70.69,3.7368,7.15,0.8022,394936.23,0.6899,1.4817
2,1.5,1.9,2.15,100,false,397,75.06,3.7292,8.65,0.6806,145010.88,0.7020,1.3629
4,1.5,1.85,2.06,100,false,492,75.61,3.7218,3.94,0.6639,253678.26,0.7014,1.3442
5,1.5,1.95,2.15,100,false,462,75.76,3.7153,4.90,0.6583,203067.58,0.7009,1.3369
3,1.5,1.9,2.1,100,false,464,75.65,3.6958,6.14,0.6565,204071.28,0.6974,1.3304
4,2.5,1.95,2.1,100,false,461,65.51,3.6911,7.73,0.9282,676475.48,0.6620,1.5804
2,2,1.85,2.06,100,false,412,69.17,3.6696,6.61,0.8229,283943.23,0.6756,1.4821
1,3,1.95,2.15,100,false,234,59.40,3.6499,5.85,1.0758,118226.52,0.6263,1.6884
3,2.5,1.95,2.1,100,false,445,65.17,3.6412,8.74,0.9200,563545.66,0.6541,1.5588
5,2,1.9,2.06,100,false,485,70.10,3.6244,4.90,0.7846,428527.23,0.6723,1.4350
2,3,1.9,2.06,100,false,397,60.20,3.6079,11.36,1.0379,571364.43,0.6257,1.6452
6,1.5,1.85,2.06,100,false,538,74.91,3.5998,2.97,0.6524,322586.35,0.6812,1.3023
3,1.5,1.95,2.15,100,false,445,74.83,3.5366,4.90,0.6384,166413.56,0.6708,1.2726
1,3,1.9,2.1,100,false,236,58.47,3.5153,5.94,1.0445,112196.41,0.6057,1.6208
6,2.5,1.95,2.1,100,false,479,64.09,3.4830,5.85,0.8916,669687.77,0.6285,1.4879
5,1.5,1.9,2.1,100,false,485,74.43,3.4590,6.10,0.6287,204429.87,0.6579,1.2434
6,2,1.9,2.06,100,false,500,69.00,3.4560,5.91,0.7613,428480.48,0.6437,1.3674
1,2.5,1.85,2.1,100,false,241,61.83,3.4537,6.79,0.9367,92013.04,0.6149,1.5160
4,2.5,1.9,2.06,100,false,477,63.31,3.4027,6.79,0.8815,626601.21,0.6144,1.4553
5,2.5,1.95,2.1,100,false,462,63.64,3.3962,6.96,0.8713,525794.74,0.6152,1.4449
6,1.5,1.95,2.15,100,false,479,73.49,3.3070,4.90,0.6117,181480.71,0.6309,1.1879
5,2.5,1.9,2.06,100,false,485,62.06,3.2197,5.85,0.8421,555540.58,0.5840,1.3672
3,1.5,1.85,2.1,100,false,492,71.75,3.1645,4.90,0.6115,195777.84,0.6041,1.1505
4,2,1.9,2.1,100,false,477,66.04,3.1619,6.79,0.7342,315882.52,0.5896,1.2599
6,1.5,1.9,2.1,100,false,500,72.40,3.1288,4.90,0.5875,182679.74,0.5986,1.1184
1,2,1.85,2.15,100,false,241,64.32,3.1250,4.23,0.7583,60503.67,0.5785,1.2694
4,2,1.95,2.15,100,false,461,65.73,3.1204,6.79,0.7267,271819.94,0.5820,1.2414
2,2.5,1.95,2.15,100,false,388,60.05,3.0887,8.65,0.8344,240730.76,0.5572,1.3202
3,2.5,1.9,2.06,100,false,464,60.78,3.0636,7.08,0.8094,401250.07,0.5559,1.2924
5,1.5,1.9,2.15,100,false,485,71.13,3.0616,4.90,0.5951,173361.52,0.5853,1.1077
4,1.5,1.9,2.15,100,false,477,71.07,3.0560,6.79,0.5948,165160.79,0.5840,1.1059
2,2.5,1.85,2.06,100,false,412,59.47,3.0409,9.56,0.8273,284429.18,0.5479,1.2994
5,3,1.95,2.1,100,false,462,56.28,3.0380,8.97,0.8911,565507.76,0.5340,1.3476
3,2,1.85,2.06,100,false,492,64.84,3.0340,7.73,0.7152,320505.47,0.5656,1.2061
4,3,1.95,2.1,100,false,461,56.18,3.0339,7.73,0.8912,560714.64,0.5326,1.3463
4,1.5,1.85,2.1,100,false,492,70.73,3.0068,5.85,0.5873,173873.23,0.5746,1.0857
5,2,1.9,2.1,100,false,485,64.74,2.9819,5.85,0.6988,282030.21,0.5569,1.1768
5,2,1.95,2.15,100,false,462,64.72,2.9806,6.26,0.6988,240714.52,0.5567,1.1764
2,2.5,1.9,2.1,100,false,397,58.94,2.9500,10.47,0.8006,226785.88,0.5323,1.2495
5,1.5,1.85,2.1,100,false,512,70.31,2.9469,3.94,0.5780,186148.73,0.5633,1.0608
3,3,1.95,2.1,100,false,445,55.28,2.9308,8.89,0.8634,431228.80,0.5143,1.2912
1,2.5,1.9,2.15,100,false,236,57.63,2.9090,6.59,0.8089,65096.82,0.5212,1.2427
2,1.5,1.85,2.15,100,false,412,69.42,2.9028,7.25,0.5819,106763.78,0.5539,1.0523
2,2,1.85,2.1,100,false,412,63.11,2.8856,8.65,0.6956,168066.10,0.5362,1.1453
5,2,1.85,2.06,100,false,512,63.67,2.8787,4.35,0.6825,312306.81,0.5366,1.1323
3,2,1.95,2.15,100,false,445,63.82,2.8734,9.32,0.6778,195051.22,0.5359,1.1268
6,3,1.95,2.1,100,false,479,54.70,2.8680,10.18,0.8462,529636.30,0.5028,1.2573
5,3,1.9,2.06,100,false,485,54.43,2.8616,5.89,0.8483,561686.77,0.5011,1.2567
6,2.5,1.9,2.06,100,false,500,59.00,2.8490,5.96,0.7581,413861.82,0.5165,1.1839
6,2,1.95,2.15,100,false,479,63.47,2.8352,11.27,0.6705,236330.23,0.5284,1.1093
3,2,1.9,2.1,100,false,464,63.36,2.8196,7.87,0.6666,210301.43,0.5254,1.1014
2,2,1.9,2.15,100,false,397,62.22,2.7775,10.47,0.6716,137890.35,0.5152,1.0926
4,3,1.9,2.06,100,false,477,53.46,2.7555,7.73,0.8170,453126.10,0.4812,1.1976
2,3,1.9,2.1,100,false,397,52.14,2.7122,10.47,0.8194,240568.35,0.4697,1.1845
4,2,1.85,2.06,100,false,492,62.20,2.7023,7.73,0.6435,225543.19,0.5017,1.0466
3,3,1.9,2.06,100,false,464,52.80,2.6924,11.36,0.7988,375349.67,0.4690,1.1627
3,2.5,1.85,2.06,100,false,492,56.30,2.6887,8.64,0.7380,351743.33,0.4815,1.1163
6,2,1.9,2.1,100,false,500,61.80,2.6418,5.85,0.6272,218748.87,0.4897,1.0147
1,3,1.85,2.1,100,false,241,50.62,2.6415,6.79,0.8105,67364.61,0.4529,1.1535
3,1.5,1.9,2.15,100,false,464,67.89,2.6350,8.91,0.5250,110711.88,0.5001,0.9265
6,1.5,1.9,2.15,100,false,500,67.80,2.6282,5.85,0.5243,132910.28,0.4987,0.9239
3,2,1.85,2.1,100,false,492,60.77,2.6271,7.10,0.6383,219326.78,0.4845,1.0191
6,1.5,1.85,2.1,100,false,538,67.66,2.6152,5.85,0.5224,160128.53,0.4959,0.9186
2,3,1.85,2.06,100,false,412,50.97,2.6131,9.65,0.7909,241183.17,0.4500,1.1295
2,2,1.85,2.15,100,false,412,59.71,2.5688,9.56,0.6321,129270.37,0.4713,0.9958
2,2.5,1.85,2.1,100,false,412,54.61,2.5682,9.56,0.7118,176829.15,0.4558,1.0565
5,2.5,1.95,2.15,100,false,462,55.41,2.5648,8.65,0.6977,235528.30,0.4579,1.0449
2,3,1.95,2.15,100,false,388,50.52,2.5411,10.47,0.7626,179845.03,0.4368,1.0841
1,3,1.9,2.15,100,false,236,49.15,2.4990,5.85,0.7622,57810.45,0.4250,1.0689
6,2,1.85,2.06,100,false,538,60.04,2.4773,5.85,0.5904,226859.29,0.4545,0.9339
5,2.5,1.9,2.1,100,false,485,54.43,2.4673,7.75,0.6686,239500.06,0.4376,0.9905
3,1.5,1.85,2.15,100,false,492,65.65,2.4549,7.67,0.4998,112895.61,0.4604,0.8527
4,2.5,1.9,2.1,100,false,477,54.30,2.4526,7.73,0.6639,222236.77,0.4344,0.9820
4,2.5,1.95,2.15,100,false,461,54.23,2.4480,8.69,0.6627,199217.77,0.4334,0.9796
2,2.5,1.9,2.15,100,false,397,53.40,2.4452,10.47,0.6735,136897.72,0.4306,0.9865
1,2.5,1.85,2.15,100,false,241,52.70,2.4356,6.54,0.6791,49573.57,0.4266,0.9874
6,3,1.9,2.06,100,false,500,49.80,2.3886,12.21,0.6971,300104.51,0.4085,0.9839
3,3,1.85,2.06,100,false,492,48.17,2.3492,11.36,0.6993,285884.69,0.3964,0.9713
3,2.5,1.9,2.1,100,false,464,53.02,2.3358,13.05,0.6276,172690.03,0.4092,0.9156
5,1.5,1.85,2.15,100,false,512,64.45,2.3283,5.62,0.4722,108202.93,0.4317,0.7920
5,2,1.85,2.1,100,false,512,57.62,2.3046,7.13,0.5529,160884.90,0.4149,0.8493
3,2.5,1.95,2.15,100,false,445,52.58,2.2937,9.45,0.6134,144349.03,0.4000,0.8908
5,2,1.9,2.15,100,false,485,57.11,2.2551,7.73,0.5383,129464.87,0.4036,0.8219
5,2.5,1.85,2.06,100,false,512,51.95,2.2526,7.73,0.6018,203274.76,0.3904,0.8682
4,2,1.9,2.15,100,false,477,57.02,2.2460,8.14,0.5355,122478.52,0.4014,0.8168
4,2,1.85,2.1,100,false,492,56.91,2.2350,7.73,0.5322,130377.82,0.3989,0.8107
4,1.5,1.85,2.15,100,false,492,63.41,2.2233,7.73,0.4475,87355.09,0.4068,0.7399
3,2.5,1.85,2.1,100,false,492,50.81,2.2155,12.02,0.5979,176841.74,0.3800,0.8525
3,3,1.9,2.1,100,false,464,46.55,2.1857,14.52,0.6338,174807.01,0.3616,0.8669
4,2.5,1.85,2.06,100,false,492,51.22,2.1848,8.42,0.5780,160798.76,0.3750,0.8275
2,3,1.85,2.1,100,false,412,45.63,2.1678,10.47,0.6349,127153.21,0.3556,0.8611
6,2.5,1.9,2.1,100,false,500,51.00,2.1586,10.42,0.5677,159909.75,0.3691,0.8110
6,2.5,1.85,2.06,100,false,538,50.56,2.1396,12.14,0.5635,192829.69,0.3641,0.8013
6,2.5,1.95,2.15,100,false,479,50.52,2.1158,16.46,0.5521,132136.53,0.3591,0.7849
1,3,1.85,2.15,100,false,241,44.40,2.1074,19.84,0.6158,42229.82,0.3403,0.8258
6,2,1.85,2.1,100,false,538,55.20,2.0967,8.66,0.4913,133071.52,0.3654,0.7340
3,2,1.9,2.15,100,false,464,55.17,2.0879,12.24,0.4877,91695.07,0.3634,0.7284
2,2.5,1.85,2.15,100,false,412,48.79,2.0865,9.56,0.5565,93410.45,0.3488,0.7776
2,3,1.9,2.15,100,false,397,44.58,2.0771,10.47,0.5969,99787.86,0.3351,0.8018
4,3,1.85,2.06,100,false,492,45.12,2.0720,12.61,0.5883,166302.36,0.3355,0.7941
3,2,1.85,2.15,100,false,492,54.07,2.0485,10.72,0.4816,101597.64,0.3525,0.7106
